3.3V-PWR1:1
3.3V1:1
BOOT:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D5:1
D6:1
D7:1
D9:1
G***:1
GND1:1
H5:1
H6:1
H7:1
H8:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
K1:1
K2:1
K3:1
K4:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RELAY1:1
RELAY2:1
RELAY3:1
RELAY4:1
RESET:1
RX2:1
TX2:1
U1:1
U10:1
U2:1
U3:1
U5:1
U6:1
U7:1
U8:1
U9:1
